"Customer #","Name","Address","City","State","Zip","Sales Rep","Account Type"
"212","Cigar House/Danny","undefined","San Marcos","CA","undefined","Ben Wallner","Wholesale"
"818","Cigarette City #3","undefined","Grass Valley","CA","undefined","Ben Wallner","Retail"
"482","Cigarette Depot","undefined","Oakland","CA","undefined","Ben Wallner","Wholesale"
"953","Cigarettes Cheaper | Eureka","undefined","Eureka","CA","undefined","Ben Wallner","Wholesale"
"1575","Cigarville Inc","undefined","New York","New York","undefined","Derek Whitworth","Wholesale"
"1663","Ciggy City Smoke Shop","undefined","wichita","KS","undefined","Jared Leuzinger","Wholesale"
"1511","Cigs 4 Less","undefined","Duluth","MN","undefined","Joe Simmons","Wholesale"
"1758","CITY LIQUOR AND MARKET","undefined","CHICO","CA","undefined","Ben Wallner","Retail"
"1439","CK Import and Distributing","undefined","Portland","OR","undefined","Ben Wallner","Wholesale"
"332","CK Wellness/Lakewood","undefined","Lakewood","CO","undefined","Brandon Good","Wholesale"
"333","Ck Wellness/Portland","undefined","portland","OR","undefined","Ben Wallner","Distributor"
"1824","CLARK MARKET","undefined","BROOKLYN","New York","undefined","ShipStation","Retail"
"1747","CLARKS LIQUOR","undefined","LONG BEACH","CA","undefined","Ben Wallner","Retail"
"1122","Classic Smoke Shop | Eug","undefined","Eugene","OR","undefined","Ben Wallner","Wholesale"
"1215","Cleveland CNC LLC (Metro Smoke Wholesale)","undefined","Brook Park","Ohio","undefined","Jared","Retail"
"522","CLOUD 9","undefined","SACRAMENTO","CA","undefined","Ben Wallner","Wholesale"
"560","Cloud 9 Smoke & Vapors","undefined","Buffalo","NY","undefined","Derek Whitworth","Wholesale"
"1149","Cloud 9 Smoke Shop (Trinity)","undefined","Trinity","FL","undefined","Jared","Wholesale"
"434","Cloud 9 Vape, Glass & Tobacco","undefined","Aurora","CO","undefined","Brandon Good","Wholesale"
"1269","Cloud Box Smoke Shop | Tacoma","undefined","Lakewood","WA","undefined","Ben Wallner","Wholesale"
"203","CLOUD CHASERS","undefined","LA MESA","CA","undefined","Ben Wallner","Wholesale"
"793","Cloud House Odessa","undefined","Odessa","Florida","undefined","Derek Whitworth","Wholesale"
"119","Cloud House Vaporz","undefined","Woodland","WA","undefined","Ben Wallner","Wholesale"
"1631","Cloud King","undefined","Pittsburgh","Pennsylvania","undefined","Derek Whitworth","Wholesale"
"1545","Cloud X Vape & Smoke | ID","undefined","Mountain Home","ID","undefined","Brandon Good","Wholesale"
"1685","Cloud X Vape & Smoke | Pocatello","undefined","Pocatello","ID","undefined","Brandon Good","Wholesale"
"1580","Cloud X Vape and Smoke | ID Falls","undefined","Idaho Falls","ID","undefined","Brandon Good","Wholesale"
"548","Cloud9 Vape & Smoke Shop Reno","undefined","Reno","NV","undefined","Jared Leuzinger","Wholesale"
"1171","Clouds Master","undefined","Santa Ana","CA","undefined","Ben Wallner","Wholesale"
