FG-20ct Green Caps,20ct Green Caps,Capsules,Retail,20ct,EA,20 count green
FG-20ct Red Caps Kanva,20ct Red Caps,Capsules,Retail,20ct,EA,20 count red
FG-20ct White Caps,20ct White Caps,Capsules,Retail,20ct,EA,20 count white
FG-250g Green Powder,250g Green Powder,Powder,Retail,250g,EA,250g green
FG-250g Red Powder,250g Red Powder,Powder,Retail,250g,EA,250g red
FG-250g White Powder,250g White Powder,Powder,Retail,250g,EA,250g white
FG-300ct Green Caps,300ct Green Caps,Capsules,Retail,300ct,EA,300 count green
FG-300ct Red Caps,300ct Red Caps,Capsules,Retail,300ct,EA,300 count red
FG-300ct White Caps,300ct White Caps,Capsules,Retail,300ct,EA,300 count white
FG-Focus + Flow-EA,60ml-Focus + Flow,Focus+Flow,Individual,60ml,EA,60ml bottle
FG-MC10-1 kg Red Caps Kanva,MC10-1kg Red Caps Kanva,Raw Material,Bulk,1kg,KG,1kg red capsules
FG-MC12 Focus+ Flow,MC12 Focus + Flow,Focus+Flow,Master Case,MC12,MC,12 boxes
FG-MC12 Zoom,FG-Zoom Citrus 80mg-2 oz Kanva Botanicals,Zoom,Case Pack,MC12,MC,12-unit case
FG-MC8 release+relax,MC8 release+relax,Release+Relax,Case Pack,MC8,MC,8-unit case
1L Focus + Flow Mango Raw,1L Focus + Flow Mango Raw,Raw Material,Liquid,1L,LT,1 liter raw
1L Raw Hand Gemade 120,1L Raw Hand Gemade 120,Raw Material,Liquid,1L,LT,1 liter hand-made
1L Raw Kanva OG Liquid,1L Raw Kanva OG Liquid,Raw Material,Liquid,1L,LT,1 liter OG liquid
1L Raw Medic 150,1L Raw Medic 150,Raw Material,Liquid,1L,LT,1 liter medic
1L Raw Tango Mango,1L Raw- Kanva Tango Mango,Raw Material,Liquid,1L,LT,1 liter tango mango
54-59-FR-002,54-59% White - Tasteless-Extract,Raw Material,Extract,N/A,KG,54-59% white extract
60-65 - FR-01 FB,60-65% White - Free Base,Raw Material,Extract,N/A,KG,60-65% white extract
65-DMX-001,65% DMX Extract-Kra,Raw Material,Extract,N/A,KG,65% concentration
Acrylic-007,4-Tier Acrylic Focus+Flow Topper- Empty White,Display,Acrylic,4-Tier,EA,White acrylic display
Acrylic-008,4-Tier Acrylic- Focus+Flow Topper- Empty Black,Display,Acrylic,4-Tier,EA,Black acrylic display
BK-FG-001,Blue Kratom 110mg mit shot 10ml,Raw Material,Shot,10ml,EA,110mg mitragynine
BM-FG-002,Hundred Premium- B.M. 2oz Peach/Mango Final,Premium,Liquid,2oz,EA,Peach/Mango final
BM-FG-003,Hundred Premium- B.M. 2oz Trop. Punch Final,Premium,Liquid,2oz,EA,Tropical punch final
BM-HP-001,Hundred Premium- BM 2oz Straw. Lemonade,Premium,Liquid,2oz,EA,Strawberry lemonade
CC Processing,Credit Card Processing Fee,Service,Fee,N/A,EA,Payment processing
Commerce Shipping,Commerce shipping amount,Service,Shipping,N/A,EA,Commerce platform
CP-006,20-400 Black Cap Tamper Evident (embossed/Screenprint),Packaging,Cap,N/A,EA,Black tamper evident cap
CUSTOMS FEE,IMPORT FEE,Service,Fee,N/A,EA,Import customs
CWL - Handling Fee,CWL Handling Fee,Service,Fee,N/A,EA,Handling charge
FG- 1kg Green Caps Wt,1kg Green Caps Wt,Capsules,Bulk,1kg,KG,1kg green caps weight
