Issued date,Account ID,Bill_to_name,Billing Address,Bill_to_city,Billing State,Bill_to_zip,Customer Name,Default_salesman,Product_id,Product,Sales order Number,So_status,Sales person,So c1,So_c2,So_c3,So_c4,So_c5,So_c6,Sales Order ID,Soitem_id,Soitem_product_number,Customer ID,Product_description,Sales Order Item Description,Soitem_type,BOL,Carrier_name,Company_id,Company_name,Ship_status,Sales_order_number,Status ID,Salesmaninitials,Fulfilled Quantity,Last_unitprice,So_ct,Unitprice,Total price,Total cost,Sales Order Line Item
01-05-2026,1478,River Tobacco,6485 E River Rd,Fridley,Minnesota,55432,River Tobacco,,11,Shipping,10119,Fulfilled,admin,,,,,,,25214,"76,384",Shipping,1264,Shipping,Shipping,Shipping,229692,UPS,1,CWL Brands,Shipped,10119,30,ADM,1.00,$0.0000,1.00,$0.00,$0.00,$0.05,2.00
01-05-2026,1478,River Tobacco,6485 E River Rd,Fridley,Minnesota,55432,River Tobacco,,11,Shipping,10119,Fulfilled,admin,,,,,,,25214,"76,394",Shipping,1264,Shipping,Shipping Tracking: 1Z90V7160306696576,Shipping,229692,UPS,1,CWL Brands,Shipped,10119,30,ADM,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,3.00
01-05-2026,1024,WILD SIDE GAINESVILLE-GV2 (FL),1029 W. University Ave,Gainesville,Florida,32601,WILD SIDE GAINESVILLE-GV2 (FL),,207,KB-3000,10114,Fulfilled,admin,,,,,,,25208,"76,317",KB-3000,860,Focus+Flow 12PK,Focus+Flow 12PK,Sale,229524,UPS,1,CWL Brands,Shipped,10114,30,ADM,14.00,$60.0000,2.00,$55.80,$781.20,$73.42,2.00
01-05-2026,1024,WILD SIDE GAINESVILLE-GV2 (FL),1029 W. University Ave,Gainesville,Florida,32601,WILD SIDE GAINESVILLE-GV2 (FL),,11,Shipping,10114,Fulfilled,admin,,,,,,,25208,"76,333",Shipping,860,Shipping,Shipping Tracking: 1Z90V7160321239979,Shipping,229524,UPS,1,CWL Brands,Shipped,10114,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,4.00
01-05-2026,979,SMOKE RINGS GARNER-RA2 (NC),106 Bratton Dr Suite 4,Garner,North Carolina,27529,SMOKE RINGS GARNER-RA2 (NC),,207,KB-3000,10096,Fulfilled,admin,,,,,,,25190,"76,278",KB-3000,815,Focus+Flow 12PK,Focus+Flow 12PK,Sale,229364,UPS,1,CWL Brands,Shipped,10096,30,ADM,20.00,$60.0000,2.00,$55.80,"$1,116.00",$104.89,2.00
01-05-2026,979,SMOKE RINGS GARNER-RA2 (NC),106 Bratton Dr Suite 4,Garner,North Carolina,27529,SMOKE RINGS GARNER-RA2 (NC),,11,Shipping,10096,Fulfilled,admin,,,,,,,25190,"76,282",Shipping,815,Shipping,Shipping Tracking: 1Z90V7160320779138,Shipping,229364,UPS,1,CWL Brands,Shipped,10096,30,ADM,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,4.00
01-05-2026,1676,Pluto's Smoke Shop | ND,1440 S Washington St,Grand Forks,North Dakota,58201,Pluto's Smoke Shop | ND,,207,KB-3000,10079,Fulfilled,BrandonG,,,,,,,25172,"76,205",KB-3000,1453,Focus+Flow 12PK,Focus+Flow 12PK,Sale,229432,UPS,1,CWL Brands,Shipped,10079,30,BG,5.00,$60.0000,1.00,$60.00,$300.00,$26.22,1.00
01-05-2026,1676,Pluto's Smoke Shop | ND,1440 S Washington St,Grand Forks,North Dakota,58201,Pluto's Smoke Shop | ND,,11,Shipping,10079,Fulfilled,BrandonG,,,,,,,25172,"76,206",Shipping,1453,Shipping,Shipping,Shipping,229432,UPS,1,CWL Brands,Shipped,10079,30,BG,1.00,$0.0000,1.00,$15.00,$15.00,$0.05,2.00
01-05-2026,1676,Pluto's Smoke Shop | ND,1440 S Washington St,Grand Forks,North Dakota,58201,Pluto's Smoke Shop | ND,,74,CC Processing,10079,Fulfilled,BrandonG,,,,,,,25172,"76,238",CC Processing,1453,Credit Card Processing Fee,Credit Card Processing Fee,Sale,229432,UPS,1,CWL Brands,Shipped,10079,30,BG,1.00,$0.0000,1.00,$9.45,$9.45,$0.00,3.00
01-05-2026,1676,Pluto's Smoke Shop | ND,1440 S Washington St,Grand Forks,North Dakota,58201,Pluto's Smoke Shop | ND,,11,Shipping,10079,Fulfilled,BrandonG,,,,,,,25172,"76,329",Shipping,1453,Shipping,Shipping Tracking: 1Z90V7160315860479,Shipping,229432,UPS,1,CWL Brands,Shipped,10079,30,BG,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,4.00
